location,start_date,end_date,description,USA for sure,timestamp
New York,2011-06-24,2011-06-24,Harlem Pride 2011,True,20110520094401
New Orleans,2011-06-24,2011-06-27,Gay Pride New Orleans,True,20110520094401
New York,2011-06-24,2011-06-24,Harlem Pride 2011,True,20110622195934
New Orleans,2011-06-24,2011-06-27,Gay Pride New Orleans,True,20110622195934
San Francisco,2011-06-25,2011-06-26,San Francisco Pride,True,20101222151431
Cleveland,2011-06-25,2011-06-25,Cleveland Pride,True,20110221072625
Houston,2011-06-25,2011-06-25,Gay Pride Houston,True,20110221072625
San Francisco,2011-06-25,2011-06-26,San Francisco Pride,True,20110221072625
Cleveland,2011-06-25,2011-06-25,Cleveland Pride,True,20110423050351
Houston,2011-06-25,2011-06-25,Gay Pride Houston,True,20110423050351
San Francisco,2011-06-25,2011-06-26,San Francisco Pride,True,20110423050351
Seattle,2011-06-25,2011-06-26,Seattle Pride,True,20110423050351
Cleveland,2011-06-25,2011-06-25,Cleveland Pride,True,20110520094401
Houston,2011-06-25,2011-06-25,Gay Pride Houston,True,20110520094401
San Francisco,2011-06-25,2011-06-26,San Francisco Pride,True,20110520094401
Seattle,2011-06-25,2011-06-26,Seattle Pride,True,20110520094401
Cleveland,2011-06-25,2011-06-25,Cleveland Pride,True,20110622195934
Houston,2011-06-25,2011-06-25,Gay Pride Houston,True,20110622195934
San Francisco,2011-06-25,2011-06-26,San Francisco Pride,True,20110622195934
Seattle,2011-06-25,2011-06-26,Seattle Pride,True,20110622195934
New York,2011-06-26,2011-06-26,Dance at the Pier,True,20101023064719
Chicago,2011-06-26,2011-06-26,Chicago Pride,True,20101129021808
New York,2011-06-26,2011-06-26,Dance at the Pier,True,20101129021808
Chicago,2011-06-26,2011-06-26,Chicago Pride,True,20101221204723
New York,2011-06-26,2011-06-26,Dance at the Pier,True,20101221204723
Chicago,2011-06-26,2011-06-26,Chicago Pride,True,20101222151431
New York,2011-06-26,2011-06-26,Dance at the Pier,True,20101222151431
Chicago,2011-06-26,2011-06-26,Chicago Pride,True,20110221072625
New York,2011-06-26,2011-06-26,Dance at the Pier,True,20110221072625
Chicago,2011-06-26,2011-06-26,Chicago Pride,True,20110423050351
New York,2011-06-26,2011-06-26,Dance at the Pier,True,20110423050351
Chicago,2011-06-26,2011-06-26,Chicago Pride,True,20110520094401
New York,2011-06-26,2011-06-26,Dance at the Pier,True,20110520094401
Chicago,2011-06-26,2011-06-26,Chicago Pride,True,20110622195934
New York,2011-06-26,2011-06-26,Dance at the Pier,True,20110622195934
Los Angeles,2011-06-30,2011-07-04,Black Pride at the Beach,True,20110622195934
Las Vegas,2011-07-01,2011-07-04,Ripped,True,20110221072625
Provincetown,2011-07-01,2011-07-07,Independence Weekend,True,20110221072625
Las Vegas,2011-07-01,2011-07-04,Ripped,True,20110423050351
Provincetown,2011-07-01,2011-07-07,Independence Weekend,True,20110423050351
Las Vegas,2011-07-01,2011-07-04,Ripped,True,20110520094401
Provincetown,2011-07-01,2011-07-07,Independence Weekend,True,20110520094401
Las Vegas,2011-07-01,2011-07-04,Ripped,True,20110622195934
Provincetown,2011-07-01,2011-07-07,Independence Weekend,True,20110622195934
Provincetown,2011-07-03,2011-07-06,Summer Camp,True,20110622195934
Provincetown,2011-07-09,2011-07-17,Bear Week,True,20110622195934
San Diego,2011-07-15,2011-07-17,San Diego Pride,True,20110622195934
San Francisco,2011-07-31,2011-07-31,Up Your Alley,True,20110622195934
New York,2011-08-10,2011-08-14,NYC Black Pride: Explosion,True,20110810142048
Chicago,2011-08-13,2011-08-14,Northalsted Market Days,True,20110810142048
Provincetown,2011-08-14,2011-08-19,Carnival,True,20110810142048
New Orleans,2011-08-31,2011-09-05,Southern Decadence,True,20110822223024
Austin,2011-09-02,2011-09-05,Splash Days ,True,20110520094401
Black Rock Desert,2011-09-02,2011-09-02,Gay Pride at Burning man ,True,20110622195934
Austin,2011-09-02,2011-09-05,Splash Days ,True,20110622195934
Black Rock Desert,2011-09-02,2011-09-02,Gay Pride at Burning man ,True,20110810142048
Austin,2011-09-02,2011-09-05,Splash Days ,True,20110810142048
Black Rock Desert,2011-09-02,2011-09-02,Gay Pride at Burning man ,True,20110822223024
Austin,2011-09-02,2011-09-05,Splash Days ,True,20110822223024
San Francisco,2011-09-04,2011-09-04,Oakland Gay Pride,True,20110822223024
Hawaii,2011-09-15,2011-09-17,Honolulu gay pride,True,20110822223024
Las Vegas,2011-09-16,2011-09-17,Las Vegas Pride,True,20110822223024
San Francisco,2011-09-25,2011-09-25,Folsom Street Fair,True,20110822223024
 Austin,2011-09-25,2011-09-25,Folsom Street Fair,True,20110925165843
Los Angeles,2011-09-30,2011-10-02,Gay Days Anaheim,True,20110822223024
 Austin,2011-09-30,2011-10-02,Gay Days Anaheim,True,20110925165843
Atlanta,2011-10-08,2011-10-09,Atlanta Pride,True,20110822223024
 Austin,2011-10-08,2011-10-09,Atlanta Pride,True,20111007102510
Los Angeles,2011-10-15,2011-10-22,Atlantis LA Mexico gay cruise,True,20101222151431
San Diego,2011-10-15,2011-10-22,Atlantis Mexican Riveira Cruise ,True,20110822223024
 Austin,2011-10-15,2011-10-22,Atlantis Mexican Riveira Cruise ,True,20111016162129
 Austin,2011-10-31,2011-10-31,Gay Halloween Streetparty,True,20111016162129
Palm Springs,2011-11-05,2011-11-06,Greater Palm Springs Pride,True,20110822223024
 Austin,2011-11-05,2011-11-06,Greater Palm Springs Pride,True,20111016162129
Miami,2011-11-23,2011-11-28,White Party Week,True,20110822223024
 Austin,2011-11-23,2011-11-28,White Party Week,True,20111110152134
Washington,2012-01-13,2012-01-16,Mid Atlantic Leather Weekend,True,20110822223024
